time_s,gt_x,gt_y,gt_yaw,wheel_x,wheel_y,wheel_yaw,ekf_x,ekf_y,ekf_yaw,err_x,err_y,err_yaw,cmd_vx,cmd_wz,front_left_steer,front_right_steer,rear_left_wheel_vel,rear_right_wheel_vel
22.09,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.7186887131757595e-13,-6.443778059933943e-25,-7.49042701955772e-12,1.7163348086114197e-13,-2.098137475890025e-25,-2.1098678359976475e-12,2.929898749041841e-07,5.643336803445727e-07,-1.659422298976055e-12,,,,,,
22.19,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.726504861649821e-13,-6.50247874231633e-25,-7.52449019419872e-12,1.7241509565895118e-13,-2.1146694289906386e-25,-2.1178614417749486e-12,2.9298987568579896e-07,5.643336803445727e-07,-1.667415904753356e-12,,,,,,
22.29,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.7343209548642858e-13,-6.561445256729837e-25,-7.558553380434205e-12,1.731967054874225e-13,-2.1312630986494335e-25,-2.1258550475522497e-12,2.9298987646740877e-07,5.643336803445727e-07,-1.6754095105306572e-12,,,,,,
22.39,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.7421375688564074e-13,-6.620681960450099e-25,-7.592616574407759e-12,1.7397836442770163e-13,-2.147919119561592e-25,-2.133848653329551e-12,2.929898772490677e-07,5.643336803445727e-07,-1.6834031163079583e-12,,,,,,
22.49,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.749953758772183e-13,-6.680181693763837e-25,-7.626679755589817e-12,1.747599844549664e-13,-2.1646354191329065e-25,-2.141398169897002e-12,2.9298987803068775e-07,5.643336803445727e-07,-1.6909526328754094e-12,,,,,,
22.59,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.7577705033992226e-13,-6.739951915068433e-25,-7.660742917642754e-12,1.7554165490112833e-13,-2.1814143609871074e-25,-2.149391775674303e-12,2.929898788123582e-07,5.643336803445727e-07,-1.6989462386527105e-12,,,,,,
22.69,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.7655866868457319e-13,-6.799984086341502e-25,-7.694806112468011e-12,1.763232748633853e-13,-2.1982539374114235e-25,-2.157385381451604e-12,2.929898795939781e-07,5.643336803445727e-07,-1.7069398444300116e-12,,,,,,
22.79,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.77340279257707e-13,-6.8602819143594145e-25,-7.728869290771639e-12,1.771048854225264e-13,-2.2151548375949057e-25,-2.1649348980190553e-12,2.9298988037558867e-07,5.643336803445727e-07,-1.7144893609974627e-12,,,,,,
22.89,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.781219137004507e-13,-6.920847834400938e-25,-7.7629324494015e-12,1.778865183150572e-13,-2.232117606276237e-25,-2.1729285037963564e-12,2.9298988115722157e-07,5.643336803445727e-07,-1.7224829667747638e-12,,,,,,
22.99,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.7890352386184748e-13,-6.981678113661601e-25,-7.796995645753121e-12,1.786681292732873e-13,-2.249141316817235e-25,-2.1809221095736575e-12,2.9298988193883255e-07,5.643336803445727e-07,-1.730476572552065e-12,,,,,,
23.09,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.7968514482339477e-13,-7.042775491562483e-25,-7.831058815558467e-12,1.794497496227612e-13,-2.266226614109044e-25,-2.1889157153509586e-12,2.929898827204529e-07,5.643336803445727e-07,-1.738470178329366e-12,,,,,,
23.19,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.8045894409067163e-13,-7.103523727648614e-25,-7.864781378307058e-12,1.8023136642371272e-13,-2.2833732801478013e-25,-2.1964652319184097e-12,2.929898835020697e-07,5.643336803445727e-07,-1.7460196948968171e-12,,,,,,
23.29,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.8124838642770595e-13,-7.165768962770691e-25,-7.89918518803868e-12,1.8101299121656547e-13,-2.300581723505738e-25,-2.204458837695711e-12,2.929898842836945e-07,5.643336803445727e-07,-1.7540133006741183e-12,,,,,,
23.39,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.8202997552505503e-13,-7.227662567545898e-25,-7.933248389153872e-12,1.8179458205880633e-13,-2.317851034523975e-25,-2.212452443473012e-12,2.929898850652853e-07,5.643336803445727e-07,-1.7620069064514194e-12,,,,,,
23.49,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.8281162746687835e-13,-7.289827412681437e-25,-7.96731156983812e-12,1.8257623113286123e-13,-2.3351828480732045e-25,-2.220001960040463e-12,2.929898858469344e-07,5.643336803445727e-07,-1.7695564230188705e-12,,,,,,
23.59,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.8359320155279078e-13,-7.352252297193869e-25,-8.001374725038198e-12,1.8335780750316642e-13,-2.3525743799360726e-25,-2.227995565817764e-12,2.9298988662851077e-07,5.643336803445727e-07,-1.7775500287961716e-12,,,,,,
23.69,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.8437483979244826e-13,-7.414948559868416e-25,-8.035437928098137e-12,1.8413944551386238e-13,-2.3700288825980917e-25,-2.2359891715950653e-12,2.929898874101488e-07,5.643336803445727e-07,-1.7855436345734727e-12,,,,,,
23.79,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.8515644917755592e-13,-7.477908765081517e-25,-8.069501085149087e-12,1.849210549339271e-13,-2.387544083503072e-25,-2.2435386881625163e-12,2.929898881917582e-07,5.643336803445727e-07,-1.7930931511409238e-12,,,,,,
23.89,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.8593808394783704e-13,-7.54113725583746e-25,-8.103564270883062e-12,1.8570268957128796e-13,-2.405121247754024e-25,-2.2515322939398175e-12,2.9298988897339284e-07,5.643336803445727e-07,-1.801086756918225e-12,,,,,,
23.99,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.8671972977207226e-13,-7.604632897087857e-25,-8.137627446600996e-12,1.8648433484897e-13,-2.422760462924227e-25,-2.2595258997171186e-12,2.9298988975503813e-07,5.643336803445727e-07,-1.809080362695526e-12,,,,,,
24.09,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.87501364524735e-13,-7.668393888583938e-25,-8.171690617037065e-12,1.8726596999745227e-13,-2.4404609698715235e-25,-2.2675195054944197e-12,2.9298989053667325e-07,5.643336803445727e-07,-1.8170739684728272e-12,,,,,,
24.19,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.8828297049687485e-13,-7.73241877806512e-25,-8.205753788036491e-12,1.8804757747164473e-13,-2.4582221840415686e-25,-2.2750690220618708e-12,2.9298989131828074e-07,5.643336803445727e-07,-1.8246234850402782e-12,,,,,,
24.29,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.8906459285371664e-13,-7.796711263209534e-25,-8.23981694473452e-12,1.888291991366228e-13,-2.476044813016934e-25,-2.283062627839172e-12,2.929898920999024e-07,5.643336803445727e-07,-1.8326170908175794e-12,,,,,,
24.39,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.8984618986028573e-13,-7.861267891776942e-25,-8.273880128957808e-12,1.8961079590499294e-13,-2.493928851139874e-25,-2.291056233616473e-12,2.9298989288149915e-07,5.643336803445727e-07,-1.8406106965948805e-12,,,,,,
24.49,-2.9298970327070327e-07,-5.643336803445727e-07,-4.504455370215926e-13,1.9062003388232892e-13,-7.9254464402027125e-25,-8.307602679738186e-12,1.9039245427883682e-13,-2.5118756572961896e-25,-2.298605750183924e-12,2.9298989366315757e-07,5.643336803445727e-07,-1.8481602131623315e-12,,,,,,
